number_of_tag_barcode,number_of_pcr_index,input_cell_number,tag_sort_cell_number,pcr_sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,97,68000,225,25,0.0875,2720,2598,153965
384,113,68000,162,32,0.08788133221382592,3573,3415,117130
384,129,68000,201,27,0.09542181069958848,3888,3697,108196
384,145,68000,197,36,0.08409037968786397,4293,4110,97324
384,161,68000,237,26,0.0809608540925267,4496,4310,92807
384,177,68000,119,39,0.07379375591296121,5285,5085,78663
384,193,68000,249,35,0.0768564999134499,5777,5552,72046
384,209,68000,187,30,0.0814680710994075,6076,5827,68646
384,225,68000,196,42,0.07976388678674133,6607,6341,63082
384,241,68000,173,30,0.08208744710860366,7090,6796,58858
384,257,68000,110,35,0.0938722294654498,7670,7302,54780
384,273,68000,124,37,0.08402154398563734,8355,7999,50006
384,289,68000,142,30,0.0808460634547591,8510,8160,49020
384,305,68000,211,23,0.08573298429319372,9168,8768,45620
384,321,68000,167,35,0.07758711443309822,9499,9125,43836
384,337,68000,246,19,0.06961835119703495,9983,9634,41520
384,353,68000,217,16,0.08438381937911571,10630,10175,39312
384,369,68000,172,20,0.08128834355828221,11084,10626,37644
384,1,72000,190,31,0.1935483870967742,31,28,14285714
384,17,72000,142,31,0.10124333925399645,563,534,749064
384,33,72000,118,30,0.09163346613545817,1004,958,417537
384,49,72000,143,28,0.07087719298245614,1425,1374,291121
384,65,72000,156,23,0.07391064533921676,1813,1745,229226
384,81,72000,218,42,0.08934294871794872,2496,2382,167926
384,97,72000,230,40,0.08155668358714044,2955,2833,141193
384,113,72000,152,35,0.09028194361127774,3334,3182,125707
384,129,72000,243,42,0.08625692429438143,3791,3626,110314
384,145,72000,201,11,0.07945647167204054,4342,4166,96015
384,161,72000,142,36,0.07392329119348617,4667,4491,89067
384,177,72000,181,34,0.08880090497737557,5304,5065,78973
384,193,72000,127,35,0.08491402233646517,5641,5398,74102
384,209,72000,192,27,0.07964152857625972,5914,5674,70497
384,225,72000,236,39,0.08452417148069322,6578,6296,63532
384,241,72000,176,36,0.0842485750034756,7193,6886,58089
384,257,72000,208,24,0.08516483516483517,7644,7311,54712
384,273,72000,200,32,0.07926233512457255,8188,7857,50910
384,289,72000,253,22,0.09113808106251431,8734,8328,48031
384,305,72000,188,17,0.08267760168458384,9023,8643,46280
384,321,72000,286,35,0.07826359177710529,9583,9204,43459
384,337,72000,313,43,0.09252669039145907,10116,9641,41489
384,353,72000,193,20,0.08316742081447964,11050,10581,37804
384,369,72000,175,41,0.08134831460674158,11125,10666,37502
384,1,76000,181,21,0.0,21,21,19047619
384,17,76000,255,18,0.11132075471698114,530,500,800000
384,33,76000,190,32,0.10172413793103448,1160,1100,363636
384,49,76000,144,28,0.11342281879194631,1490,1403,285103
384,65,76000,238,38,0.07278481012658228,1896,1826,219058
384,81,76000,243,42,0.07346767422334173,2382,2293,174444
384,97,76000,255,50,0.09006622516556291,3020,2883,138744
384,113,76000,246,33,0.07823230815168707,3349,3216,124378
384,129,76000,237,50,0.07357237715803452,3765,3625,110345
384,145,76000,197,34,0.07663286960622495,4241,4076,98135
384,161,76000,148,38,0.08123987034035657,4936,4733,84513
384,177,76000,199,32,0.09217927780802032,5511,5250,76190
384,193,76000,182,34,0.08726968174204355,5970,5707,70089
384,209,76000,166,45,0.08628352490421456,6525,6237,64133
384,225,76000,191,21,0.078297743449947,6603,6342,63072
384,241,76000,145,20,0.0883500557413601,7176,6855,58352
384,257,76000,198,20,0.08808745916059312,7958,7605,52597
384,273,76000,233,30,0.07916053019145802,8148,7821,51144
384,289,76000,302,40,0.0820939220049186,8539,8183,48882
384,305,76000,211,36,0.08289031138114354,9217,8832,45290
384,321,76000,187,29,0.08764940239043825,9538,9114,43889
384,337,76000,191,37,0.08334156216056088,10127,9698,41246
384,353,76000,179,19,0.08007323183657737,10378,9955,40181
384,369,76000,177,38,0.08662600548042075,11313,10818,36975
384,1,80000,287,32,0.0,32,32,12500000
384,17,80000,201,31,0.040152963671128104,523,512,781250
384,33,80000,201,51,0.08406647116324535,1023,980,408163
384,49,80000,250,24,0.07227241139680333,1439,1386,288600
384,65,80000,206,21,0.07541157727031333,1883,1812,220751
384,81,80000,223,22,0.07615062761506276,2390,2297,174140
384,97,80000,267,30,0.09707401032702237,2905,2762,144823
384,113,80000,243,0,0.08190925162050677,3394,3253,122963
384,129,80000,177,33,0.08132450331125828,3775,3620,110497
384,145,80000,221,22,0.10127737226277372,4384,4156,96246
384,161,80000,194,41,0.08780385582564962,4772,4560,87719
384,177,80000,178,14,0.08167519423915104,5277,5056,79114
384,193,80000,242,24,0.08759993196121789,5879,5615,71238
384,209,80000,269,27,0.07830235236058562,6079,5839,68505
384,225,80000,171,43,0.08464042616158626,6758,6468,61843
384,241,80000,203,10,0.07830319888734354,7190,6903,57946
384,257,80000,269,51,0.08457069076823757,7745,7413,53959
384,273,80000,233,27,0.08205502800097395,8214,7874,50800
384,289,80000,245,16,0.0762671150612539,8326,8002,49988
384,305,80000,158,18,0.08046602787456446,9184,8809,45408
384,321,80000,271,36,0.08071466106148187,9515,9126,43831
384,337,80000,169,32,0.08263895696500344,10201,9773,40929
384,353,80000,241,37,0.08647260273972603,10512,10051,39797
384,369,80000,201,33,0.08309846349668151,10999,10534,37972
384,1,84000,190,28,0.14285714285714285,28,26,15384615
384,17,84000,222,43,0.0811965811965812,468,449,890869
384,33,84000,214,35,0.08535402521823472,1031,987,405268
384,49,84000,227,42,0.07373271889400922,1519,1462,273598
384,65,84000,273,22,0.07158119658119658,1872,1804,221729
384,81,84000,318,26,0.08361064891846921,2404,2303,173686
384,97,84000,237,21,0.08260105448154657,2845,2727,146681
384,113,84000,297,35,0.08588588588588589,3330,3185,125589
384,129,84000,259,22,0.08400103385887826,3869,3702,108050
384,145,84000,186,34,0.08630013519603424,4438,4243,94273
384,161,84000,270,39,0.07758081334723671,4795,4606,86843
384,177,84000,124,27,0.07954767011113277,5129,4921,81284
384,193,84000,162,43,0.08420690840350575,5819,5571,71800
384,209,84000,256,37,0.0771594953089615,6182,5942,67317
384,225,84000,249,13,0.08273546023507862,6551,6275,63745
384,241,84000,178,25,0.08763539175692783,7109,6793,58884
384,257,84000,194,19,0.0883096156403777,7519,7179,55718
384,273,84000,226,37,0.07552083333333333,8064,7756,51573
384,289,84000,165,40,0.08218232044198895,8688,8326,48042
384,305,84000,173,32,0.0839837309002968,9097,8707,45940
384,321,84000,252,25,0.08904682274247491,9568,9136,43783
384,337,84000,275,37,0.0841713596138375,9944,9520,42017
384,353,84000,173,38,0.0809138505473584,10505,10069,39726
384,369,84000,288,48,0.08144836835046938,11185,10722,37306
384,1,88000,222,29,0.0,29,29,13793103
384,17,88000,270,45,0.10326086956521739,552,523,764818
384,33,88000,219,19,0.07860262008733625,916,879,455063
384,49,88000,266,35,0.08795962509012256,1387,1324,302115
384,65,88000,299,40,0.07079646017699115,1808,1744,229358
384,81,88000,234,16,0.08326724821570182,2522,2416,165563
384,97,88000,290,26,0.08452774715178243,2721,2604,153610
384,113,88000,277,38,0.0891271056661562,3265,3118,128287
384,129,88000,234,20,0.10471464019851116,4030,3815,104849
384,145,88000,173,27,0.08585738134986882,4193,4009,99776
384,161,88000,225,33,0.08443051201671892,4785,4580,87336
384,177,88000,219,3,0.08140389562660787,5442,5216,76687
384,193,88000,180,39,0.07522047380252464,5783,5562,71917
384,209,88000,257,21,0.08445612882024318,6086,5826,68658
384,225,88000,255,35,0.0823600788715304,6593,6315,63341
384,241,88000,237,23,0.0870400878638111,7284,6962,57455
384,257,88000,224,27,0.07580408381155745,7493,7205,55517
