number_of_tag_barcode,number_of_pcr_index,input_cell_number,sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,256,200000,3,0.0078125,768,765,522876
384,264,200000,3,0.007575757575757576,792,789,506971
384,272,200000,3,0.0,816,816,490196
384,280,200000,3,0.004761904761904762,840,838,477327
384,288,200000,3,0.0023148148148148147,864,863,463499
384,296,200000,3,0.01126126126126126,888,883,453001
384,304,200000,3,0.006578947368421052,912,909,440044
384,312,200000,3,0.00641025641025641,936,933,428725
384,320,200000,3,0.00625,960,957,417973
384,328,200000,3,0.0040650406504065045,984,982,407332
384,336,200000,3,0.011904761904761904,1008,1002,399202
384,344,200000,3,0.0,1032,1032,387597
384,352,200000,3,0.001893939393939394,1056,1055,379147
384,360,200000,3,0.005555555555555556,1080,1077,371402
384,368,200000,3,0.0018115942028985507,1104,1103,362647
384,376,200000,3,0.008865248226950355,1128,1123,356189
384,8,200000,5,0.0,40,40,10000000
384,16,200000,5,0.0,80,80,5000000
384,24,200000,5,0.0,120,120,3333333
384,32,200000,5,0.0125,160,159,2515723
384,40,200000,5,0.0,200,200,2000000
384,48,200000,5,0.025,240,237,1687764
384,56,200000,5,0.0,280,280,1428571
384,64,200000,5,0.00625,320,319,1253918
384,72,200000,5,0.016666666666666666,360,357,1120448
384,80,200000,5,0.0,400,400,1000000
384,88,200000,5,0.031818181818181815,440,433,923788
384,96,200000,5,0.004166666666666667,480,479,835073
384,104,200000,5,0.0,520,520,769231
384,112,200000,5,0.025,560,553,723327
384,120,200000,5,0.01,600,597,670017
384,128,200000,5,0.00625,640,638,626959
384,136,200000,5,0.0058823529411764705,680,678,589971
384,144,200000,5,0.022222222222222223,720,712,561798
384,152,200000,5,0.015789473684210527,760,754,530504
384,160,200000,5,0.005,800,798,501253
384,168,200000,5,0.004761904761904762,840,838,477327
384,176,200000,5,0.006818181818181818,880,877,456100
384,184,200000,5,0.010869565217391304,920,915,437158
384,192,200000,5,0.008333333333333333,960,956,418410
384,200,200000,5,0.006,1000,997,401204
384,208,200000,5,0.011538461538461539,1040,1034,386847
384,216,200000,5,0.014814814814814815,1080,1072,373134
384,224,200000,5,0.008928571428571428,1120,1115,358744
384,232,200000,5,0.008620689655172414,1160,1155,346320
384,240,200000,5,0.01,1200,1194,335008
384,248,200000,5,0.00967741935483871,1240,1234,324149
384,256,200000,5,0.0015625,1280,1279,312744
384,264,200000,5,0.015151515151515152,1320,1310,305344
384,272,200000,5,0.0058823529411764705,1360,1356,294985
384,280,200000,5,0.011428571428571429,1400,1392,287356
384,288,200000,5,0.0125,1440,1431,279525
384,296,200000,5,0.008108108108108109,1480,1474,271370
384,304,200000,5,0.005263157894736842,1520,1516,263852
384,312,200000,5,0.010256410256410256,1560,1552,257732
384,320,200000,5,0.00875,1600,1593,251099
384,328,200000,5,0.01097560975609756,1640,1631,245248
384,336,200000,5,0.008333333333333333,1680,1673,239091
384,344,200000,5,0.015116279069767442,1720,1707,234329
384,352,200000,5,0.011363636363636364,1760,1750,228571
384,360,200000,5,0.015555555555555555,1800,1786,223964
384,368,200000,5,0.015217391304347827,1840,1826,219058
384,376,200000,5,0.00851063829787234,1880,1872,213675
384,8,200000,7,0.03571428571428571,56,55,7272727
384,16,200000,7,0.0,112,112,3571429
384,24,200000,7,0.011904761904761904,168,167,2395210
384,32,200000,7,0.026785714285714284,224,221,1809955
384,40,200000,7,0.007142857142857143,280,279,1433692
384,48,200000,7,0.03571428571428571,336,330,1212121
384,56,200000,7,0.00510204081632653,392,391,1023018
384,64,200000,7,0.026785714285714284,448,442,904977
384,72,200000,7,0.027777777777777776,504,497,804829
384,80,200000,7,0.026785714285714284,560,552,724638
384,88,200000,7,0.00974025974025974,616,613,652529
384,96,200000,7,0.023809523809523808,672,664,602410
384,104,200000,7,0.016483516483516484,728,722,554017
384,112,200000,7,0.017857142857142856,784,777,514801
384,120,200000,7,0.014285714285714285,840,834,479616
384,128,200000,7,0.020089285714285716,896,887,450958
384,136,200000,7,0.01680672268907563,952,944,423729
384,144,200000,7,0.00992063492063492,1008,1003,398804
384,152,200000,7,0.015037593984962405,1064,1056,378788
384,160,200000,7,0.019642857142857142,1120,1109,360685
384,168,200000,7,0.017857142857142856,1176,1165,343348
384,176,200000,7,0.021103896103896104,1232,1219,328138
384,184,200000,7,0.013975155279503106,1288,1279,312744
384,192,200000,7,0.019345238095238096,1344,1331,300526
384,200,200000,7,0.018571428571428572,1400,1387,288392
384,208,200000,7,0.016483516483516484,1456,1444,277008
384,216,200000,7,0.006613756613756613,1512,1507,265428
384,224,200000,7,0.008928571428571428,1568,1561,256246
384,232,200000,7,0.011083743842364532,1624,1615,247678
384,240,200000,7,0.017857142857142856,1680,1665,240240
384,248,200000,7,0.012672811059907835,1736,1725,231884
384,256,200000,7,0.015625,1792,1778,224972
384,264,200000,7,0.027056277056277056,1848,1823,219419
384,272,200000,7,0.018907563025210083,1904,1886,212089
384,280,200000,7,0.014285714285714285,1960,1946,205550
384,288,200000,7,0.015873015873015872,2016,2000,200000
384,296,200000,7,0.012548262548262547,2072,2059,194269
384,304,200000,7,0.014097744360902255,2128,2113,189304
384,312,200000,7,0.018315018315018316,2184,2164,184843
384,320,200000,7,0.016964285714285713,2240,2221,180099
384,328,200000,7,0.017421602787456445,2296,2276,175747
384,336,200000,7,0.013605442176870748,2352,2336,171233
384,344,200000,7,0.009136212624584718,2408,2397,166875
384,352,200000,7,0.01948051948051948,2464,2440,163934
384,360,200000,7,0.011904761904761904,2520,2505,159681
384,368,200000,7,0.016304347826086956,2576,2555,156556
384,376,200000,7,0.0182370820668693,2632,2608,153374
384,8,200000,9,0.0,72,72,5555556
384,16,200000,9,0.013888888888888888,144,143,2797203
384,24,200000,9,0.0,216,216,1851852
384,32,200000,9,0.013888888888888888,288,286,1398601
384,40,200000,9,0.011111111111111112,360,358,1117318
384,48,200000,9,0.023148148148148147,432,427,936768
384,56,200000,9,0.011904761904761904,504,501,798403
384,64,200000,9,0.034722222222222224,576,566,706714
384,72,200000,9,0.044753086419753084,648,633,631912
384,80,200000,9,0.022222222222222223,720,712,561798
384,88,200000,9,0.015151515151515152,792,786,508906
384,96,200000,9,0.009259259259259259,864,860,465116
384,104,200000,9,0.019230769230769232,936,927,431499
384,112,200000,9,0.00992063492063492,1008,1003,398804
384,120,200000,9,0.016666666666666666,1080,1071,373483
384,128,200000,9,0.020833333333333332,1152,1140,350877
384,136,200000,9,0.021241830065359478,1224,1211,330306
384,144,200000,9,0.009259259259259259,1296,1290,310078
384,152,200000,9,0.017543859649122806,1368,1356,294985
384,160,200000,9,0.02361111111111111,1440,1423,281096
384,168,200000,9,0.017195767195767195,1512,1499,266845
384,176,200000,9,0.016414141414141416,1584,1571,254615
384,184,200000,9,0.021135265700483092,1656,1638,244200
384,192,200000,9,0.018518518518518517,1728,1712,233645
384,200,200000,9,0.02277777777777778,1800,1779,224845
384,208,200000,9,0.013888888888888888,1872,1859,215169
384,216,200000,9,0.018518518518518517,1944,1926,207684
384,224,200000,9,0.013392857142857142,2016,2002,199800
384,232,200000,9,0.027777777777777776,2088,2059,194269
384,240,200000,9,0.015277777777777777,2160,2143,186654
384,248,200000,9,0.023297491039426525,2232,2205,181406
384,256,200000,9,0.0234375,2304,2277,175670
384,264,200000,9,0.027777777777777776,2376,2343,170721
384,272,200000,9,0.02696078431372549,2448,2415,165631
384,280,200000,9,0.01865079365079365,2520,2496,160256
384,288,200000,9,0.02700617283950617,2592,2557,156433
384,296,200000,9,0.02252252252252252,2664,2634,151860
384,304,200000,9,0.025219298245614034,2736,2701,148093
384,312,200000,9,0.021367521367521368,2808,2778,143988
384,320,200000,9,0.021875,2880,2848,140449
384,328,200000,9,0.02100271002710027,2952,2921,136939
384,336,200000,9,0.02447089947089947,3024,2987,133914
384,344,200000,9,0.02260981912144703,3096,3061,130676
384,352,200000,9,0.026515151515151516,3168,3126,127959
384,360,200000,9,0.019753086419753086,3240,3208,124688
384,368,200000,9,0.020531400966183576,3312,3278,122026
384,376,200000,9,0.02009456264775414,3384,3350,119403
384,8,200000,11,0.022727272727272728,88,87,4597701
384,16,200000,11,0.011363636363636364,176,175,2285714
384,24,200000,11,0.045454545454545456,264,258,1550388
384,32,200000,11,0.017045454545454544,352,349,1146132
384,40,200000,11,0.04090909090909091,440,431,928074
384,48,200000,11,0.026515151515151516,528,521,767754
384,56,200000,11,0.016233766233766232,616,611,654664
384,64,200000,11,0.04261363636363636,704,689,580552
384,72,200000,11,0.027777777777777776,792,781,512164
384,80,200000,11,0.02727272727272727,880,868,460829
384,88,200000,11,0.026859504132231406,968,955,418848
384,96,200000,11,0.015151515151515152,1056,1048,381679
384,104,200000,11,0.026223776223776224,1144,1129,354296
384,112,200000,11,0.02922077922077922,1232,1214,329489
384,120,200000,11,0.016666666666666666,1320,1309,305577
384,128,200000,11,0.03480113636363636,1408,1383,289226
384,136,200000,11,0.0213903743315508,1496,1480,270270
384,144,200000,11,0.021464646464646464,1584,1567,255265
384,152,200000,11,0.0215311004784689,1672,1654,241838
384,160,200000,11,0.019318181818181818,1760,1743,229489
384,168,200000,11,0.02922077922077922,1848,1821,219660
384,176,200000,11,0.024793388429752067,1936,1912,209205
384,184,200000,11,0.025691699604743084,2024,1998,200200
384,192,200000,11,0.03787878787878788,2112,2072,193050
384,200,200000,11,0.022727272727272728,2200,2175,183908
384,208,200000,11,0.025349650349650348,2288,2259,177069
384,216,200000,11,0.029461279461279462,2376,2341,170867
384,224,200000,11,0.02556818181818182,2464,2432,164474
384,232,200000,11,0.0274294670846395,2552,2517,158919
384,240,200000,11,0.025757575757575757,2640,2606,153492
384,248,200000,11,0.023826979472140762,2728,2695,148423
384,256,200000,11,0.022727272727272728,2816,2784,143678
384,264,200000,11,0.02203856749311295,2904,2872,139276
384,272,200000,11,0.02406417112299465,2992,2956,135318
384,280,200000,11,0.028896103896103895,3080,3035,131796
384,288,200000,11,0.021780303030303032,3168,3133,127673
384,296,200000,11,0.025798525798525797,3256,3214,124456
384,304,200000,11,0.02332535885167464,3344,3305,121029
384,312,200000,11,0.02564102564102564,3432,3388,118064
384,320,200000,11,0.023579545454545454,3520,3478,115009
384,328,200000,11,0.027161862527716185,3608,3559,112391
384,336,200000,11,0.025703463203463204,3696,3648,109649
384,344,200000,11,0.02061310782241015,3784,3745,106809
384,352,200000,11,0.032283057851239666,3872,3809,105014
384,360,200000,11,0.025,3960,3910,102302
384,368,200000,11,0.023221343873517788,4048,4001,99975
384,376,200000,11,0.02756286266924565,4136,4079,98063
384,8,200000,13,0.038461538461538464,104,102,3921569
384,16,200000,13,0.038461538461538464,208,204,1960784
384,24,200000,13,0.038461538461538464,312,306,1307190
384,32,200000,13,0.019230769230769232,416,412,970874
384,40,200000,13,0.019230769230769232,520,515,776699
384,48,200000,13,0.028846153846153848,624,615,650407
384,56,200000,13,0.02197802197802198,728,720,555556
384,64,200000,13,0.036057692307692304,832,817,489596
384,72,200000,13,0.038461538461538464,936,918,435730
384,80,200000,13,0.038461538461538464,1040,1020,392157
384,88,200000,13,0.03146853146853147,1144,1126,355240
384,96,200000,13,0.03365384615384615,1248,1227,325998
384,104,200000,13,0.03254437869822485,1352,1330,300752
384,112,200000,13,0.03021978021978022,1456,1434,278940
384,120,200000,13,0.029487179487179487,1560,1537,260247
384,128,200000,13,0.025240384615384616,1664,1643,243457
384,136,200000,13,0.02262443438914027,1768,1748,228833
384,144,200000,13,0.03418803418803419,1872,1840,217391
384,152,200000,13,0.024291497975708502,1976,1952,204918
384,160,200000,13,0.03461538461538462,2080,2044,195695
384,168,200000,13,0.03021978021978022,2184,2151,185960
384,176,200000,13,0.025349650349650348,2288,2259,177069
384,184,200000,13,0.024247491638795988,2392,2362,169348
384,192,200000,13,0.026842948717948716,2496,2462,162470
384,200,200000,13,0.027692307692307693,2600,2564,156006
384,208,200000,13,0.027366863905325445,2704,2667,149981
384,216,200000,13,0.033831908831908834,2808,2760,144928
384,224,200000,13,0.0260989010989011,2912,2874,139179
384,232,200000,13,0.02453580901856764,3016,2979,134273
384,240,200000,13,0.02980769230769231,3120,3073,130166
384,248,200000,13,0.02729528535980149,3224,3180,125786
384,256,200000,13,0.033052884615384616,3328,3273,122212
384,264,200000,13,0.03146853146853147,3432,3378,118413
384,272,200000,13,0.031108597285067874,3536,3481,114910
384,280,200000,13,0.03324175824175824,3640,3579,111763
384,288,200000,13,0.03365384615384615,3744,3680,108696
384,296,200000,13,0.030665280665280667,3848,3789,105569
384,304,200000,13,0.0298582995951417,3952,3893,102749
384,312,200000,13,0.03106508875739645,4056,3993,100175
384,320,200000,13,0.027403846153846154,4160,4103,97490
384,328,200000,13,0.03330206378986867,4264,4193,95397
384,336,200000,13,0.030677655677655676,4368,4301,93002
384,344,200000,13,0.029740608228980323,4472,4405,90806
384,352,200000,13,0.02819055944055944,4576,4511,88672
384,360,200000,13,0.03418803418803419,4680,4600,86957
384,368,200000,13,0.03072742474916388,4784,4710,84926
384,376,200000,13,0.02905073649754501,4888,4816,83056
384,8,200000,15,0.016666666666666666,120,119,3361345
384,16,200000,15,0.041666666666666664,240,235,1702128
384,24,200000,15,0.03333333333333333,360,354,1129944
384,32,200000,15,0.03958333333333333,480,470,851064
384,40,200000,15,0.03833333333333333,600,588,680272
384,48,200000,15,0.03888888888888889,720,706,566572
384,56,200000,15,0.03571428571428571,840,825,484848
384,64,200000,15,0.05,960,936,427350
384,72,200000,15,0.024074074074074074,1080,1067,374883
384,80,200000,15,0.045,1200,1173,341006
384,88,200000,15,0.051515151515151514,1320,1286,311042
384,96,200000,15,0.020833333333333332,1440,1425,280702
384,104,200000,15,0.03205128205128205,1560,1535,260586
384,112,200000,15,0.030952380952380953,1680,1654,241838
384,120,200000,15,0.03111111111111111,1800,1772,225734
384,128,200000,15,0.030208333333333334,1920,1891,211528
384,136,200000,15,0.03137254901960784,2040,2008,199203
384,144,200000,15,0.04027777777777778,2160,2115,189125
384,152,200000,15,0.031578947368421054,2280,2244,178253
384,160,200000,15,0.04041666666666666,2400,2351,170140
384,168,200000,15,0.04206349206349207,2520,2467,162140
384,176,200000,15,0.042045454545454546,2640,2584,154799
384,184,200000,15,0.03949275362318841,2760,2705,147874
384,192,200000,15,0.02847222222222222,2880,2839,140895
384,200,200000,15,0.035333333333333335,3000,2947,135731
384,208,200000,15,0.046153846153846156,3120,3047,131277
384,216,200000,15,0.03888888888888889,3240,3177,125905
384,224,200000,15,0.034523809523809526,3360,3302,121139
384,232,200000,15,0.03879310344827586,3480,3412,117233
384,240,200000,15,0.04055555555555555,3600,3526,113443
384,248,200000,15,0.037365591397849465,3720,3650,109589
384,256,200000,15,0.03671875,3840,3769,106129
384,264,200000,15,0.031818181818181815,3960,3897,102643
384,272,200000,15,0.03872549019607843,4080,4000,100000
384,280,200000,15,0.03738095238095238,4200,4121,97064
384,288,200000,15,0.03726851851851852,4320,4239,94362
384,296,200000,15,0.0445945945945946,4440,4341,92145
384,304,200000,15,0.03618421052631579,4560,4477,89346
384,312,200000,15,0.03974358974358974,4680,4587,87203
384,320,200000,15,0.035,4800,4715,84836
384,328,200000,15,0.03983739837398374,4920,4822,82953
384,336,200000,15,0.035515873015873015,5040,4950,80808
384,344,200000,15,0.03682170542635659,5160,5065,78973
384,352,200000,15,0.03049242424242424,5280,5199,76938
384,360,200000,15,0.03518518518518519,5400,5305,75401
384,368,200000,15,0.03206521739130435,5520,5431,73651
384,376,200000,15,0.03546099290780142,5640,5540,72202
384,8,200000,17,0.058823529411764705,136,132,3030303
384,16,200000,17,0.0,272,272,1470588
384,24,200000,17,0.00980392156862745,408,406,985222
384,32,200000,17,0.03676470588235294,544,534,749064
384,40,200000,17,0.029411764705882353,680,670,597015
384,48,200000,17,0.029411764705882353,816,804,497512
384,56,200000,17,0.029411764705882353,952,938,426439
384,64,200000,17,0.058823529411764705,1088,1055,379147
384,72,200000,17,0.032679738562091505,1224,1204,332226
384,80,200000,17,0.03676470588235294,1360,1335,299625
384,88,200000,17,0.046122994652406414,1496,1461,273785
384,96,200000,17,0.042279411764705885,1632,1597,250470
384,104,200000,17,0.032805429864253395,1768,1739,230017
384,112,200000,17,0.03676470588235294,1904,1869,214018
384,120,200000,17,0.0392156862745098,2040,2000,200000
384,128,200000,17,0.043658088235294115,2176,2128,187970
384,136,200000,17,0.04238754325259515,2312,2263,176757
384,144,200000,17,0.03799019607843137,2448,2401,166597
384,152,200000,17,0.03831269349845201,2584,2534,157853
384,160,200000,17,0.04926470588235294,2720,2652,150830
384,168,200000,17,0.03746498599439776,2856,2801,142806
384,176,200000,17,0.0374331550802139,2992,2936,136240
384,184,200000,17,0.03388746803069054,3128,3075,130081
384,192,200000,17,0.035845588235294115,3264,3205,124805
384,200,200000,17,0.04794117647058824,3400,3318,120555
384,208,200000,17,0.035633484162895926,3536,3473,115174
384,216,200000,17,0.03676470588235294,3672,3603,111019
384,224,200000,17,0.04149159663865546,3808,3728,107296
384,232,200000,17,0.04513184584178499,3944,3855,103761
384,240,200000,17,0.035784313725490194,4080,4007,99825
384,248,200000,17,0.04269449715370019,4216,4126,96946
384,256,200000,17,0.04457720588235294,4352,4255,94007
384,264,200000,17,0.0427807486631016,4488,4392,91075
384,272,200000,17,0.042820069204152246,4624,4524,88417
384,280,200000,17,0.047058823529411764,4760,4648,86059
384,288,200000,17,0.03880718954248366,4896,4801,83316
384,296,200000,17,0.03676470588235294,5032,4939,80988
384,304,200000,17,0.04179566563467492,5168,5059,79067
384,312,200000,17,0.04110105580693816,5304,5194,77012
384,320,200000,17,0.03676470588235294,5440,5339,74920
384,328,200000,17,0.04071018651362984,5576,5462,73233
384,336,200000,17,0.03816526610644258,5712,5602,71403
384,344,200000,17,0.04121067031463748,5848,5726,69857
384,352,200000,17,0.032754010695187165,5984,5886,67958
384,360,200000,17,0.04183006535947712,6120,5991,66767
384,368,200000,17,0.03117007672634271,6256,6158,64956
384,376,200000,17,0.04005006257822278,6392,6264,63857
384,8,200000,19,0.039473684210526314,152,149,2684564
384,16,200000,19,0.08552631578947369,304,291,1374570
384,24,200000,19,0.06359649122807018,456,441,907029
384,32,200000,19,0.05592105263157895,608,591,676819
384,40,200000,19,0.05526315789473684,760,739,541272
384,48,200000,19,0.039473684210526314,912,894,447427
384,56,200000,19,0.04887218045112782,1064,1038,385356
384,64,200000,19,0.060032894736842105,1216,1179,339271
384,72,200000,19,0.04093567251461988,1368,1339,298730
384,80,200000,19,0.0375,1520,1491,268276
384,88,200000,19,0.04665071770334928,1672,1633,244948
384,96,200000,19,0.043859649122807015,1824,1783,224341
384,104,200000,19,0.040991902834008095,1976,1935,206718
384,112,200000,19,0.03383458646616541,2128,2092,191205
384,120,200000,19,0.041666666666666664,2280,2232,179211
384,128,200000,19,0.0390625,2432,2384,167785
384,136,200000,19,0.05108359133126935,2584,2518,158856
384,144,200000,19,0.05482456140350877,2736,2661,150319
384,152,200000,19,0.04986149584487535,2888,2815,142096
384,160,200000,19,0.049342105263157895,3040,2965,134907
384,168,200000,19,0.041666666666666664,3192,3125,128000
384,176,200000,19,0.046052631578947366,3344,3267,122436
384,184,200000,19,0.04862700228832952,3496,3411,117268
384,192,200000,19,0.039473684210526314,3648,3575,111888
384,200,200000,19,0.04105263157894737,3800,3722,107469
384,208,200000,19,0.04630566801619433,3952,3860,103627
384,216,200000,19,0.04337231968810916,4104,4014,99651
384,224,200000,19,0.05192669172932331,4256,4145,96502
384,232,200000,19,0.03720508166969147,4408,4326,92464
384,240,200000,19,0.049342105263157895,4560,4447,89948
384,248,200000,19,0.037563667232597624,4712,4623,86524
384,256,200000,19,0.046875,4864,4750,84211
384,264,200000,19,0.04066985645933014,5016,4913,81417
384,272,200000,19,0.03869969040247678,5168,5067,78942
384,280,200000,19,0.04379699248120301,5320,5202,76894
384,288,200000,19,0.04057017543859649,5472,5359,74641
384,296,200000,19,0.03751778093883357,5624,5517,72503
384,304,200000,19,0.04259002770083103,5776,5652,70771
384,312,200000,19,0.0497638326585695,5928,5779,69216
384,320,200000,19,0.04753289473684211,6080,5935,67397
384,328,200000,19,0.04525032092426187,6232,6090,65681
384,336,200000,19,0.046052631578947366,6384,6237,64133
384,344,200000,19,0.051407588739290085,6536,6366,62834
384,352,200000,19,0.05038875598086125,6688,6517,61378
384,360,200000,19,0.044444444444444446,6840,6686,59827
384,368,200000,19,0.04033180778032037,6992,6850,58394
384,376,200000,19,0.04731243001119821,7144,6975,57348
384,8,200000,21,0.023809523809523808,168,166,2409639
384,16,200000,21,0.02976190476190476,336,331,1208459
384,24,200000,21,0.05952380952380952,504,489,817996
384,32,200000,21,0.050595238095238096,672,655,610687
384,40,200000,21,0.047619047619047616,840,820,487805
384,48,200000,21,0.047619047619047616,1008,984,406504
384,56,200000,21,0.0391156462585034,1176,1153,346921
384,64,200000,21,0.05803571428571429,1344,1305,306513
384,72,200000,21,0.05026455026455026,1512,1474,271370
384,80,200000,21,0.06428571428571428,1680,1625,246154
384,88,200000,21,0.03896103896103896,1848,1811,220872
384,96,200000,21,0.05009920634920635,2016,1965,203562
384,104,200000,21,0.0554029304029304,2184,2123,188413
384,112,200000,21,0.0429421768707483,2352,2301,173837
384,120,200000,21,0.05396825396825397,2520,2450,163265
384,128,200000,21,0.047619047619047616,2688,2624,152439
384,136,200000,21,0.04936974789915966,2856,2785,143627
384,144,200000,21,0.04332010582010582,3024,2958,135227
384,152,200000,21,0.05795739348370927,3192,3099,129074
384,160,200000,21,0.051488095238095236,3360,3273,122212
384,168,200000,21,0.041666666666666664,3528,3454,115808
384,176,200000,21,0.04924242424242424,3696,3605,110957
384,184,200000,21,0.043478260869565216,3864,3778,105876
384,192,200000,21,0.054811507936507936,4032,3920,102041
384,200,200000,21,0.04404761904761905,4200,4107,97395
384,208,200000,21,0.05013736263736264,4368,4258,93941
384,216,200000,21,0.052248677248677246,4536,4416,90580
384,224,200000,21,0.04953231292517007,4704,4586,87222
384,232,200000,21,0.05008210180623974,4872,4749,84228
384,240,200000,21,0.05119047619047619,5040,4910,81466
384,248,200000,21,0.0456989247311828,5208,5088,78616
384,256,200000,21,0.054873511904761904,5376,5227,76526
384,264,200000,21,0.039862914862914864,5544,5433,73624
384,272,200000,21,0.05619747899159664,5712,5550,72072
384,280,200000,21,0.05612244897959184,5880,5712,70028
384,288,200000,21,0.05291005291005291,6048,5886,67958
384,296,200000,21,0.055341055341055344,6216,6043,66192
384,304,200000,21,0.05075187969924812,6384,6222,64288
384,312,200000,21,0.04456654456654457,6552,6406,62441
384,320,200000,21,0.053422619047619045,6720,6538,61181
384,328,200000,21,0.04500580720092915,6888,6733,59409
384,336,200000,21,0.050878684807256234,7056,6874,58190
384,344,200000,21,0.046650055370985606,7224,7055,56697
384,352,200000,21,0.04897186147186147,7392,7209,55486
384,360,200000,21,0.049206349206349205,7560,7372,54259
384,368,200000,21,0.049818840579710144,7728,7534,53093
384,376,200000,21,0.054204660587639314,7896,7681,52077
384,8,200000,23,0.06521739130434782,184,178,2247191
384,16,200000,23,0.07336956521739131,368,354,1129944
384,24,200000,23,0.05434782608695652,552,537,744879
384,32,200000,23,0.08016304347826086,736,706,566572
384,40,200000,23,0.08260869565217391,920,882,453515
384,48,200000,23,0.06793478260869565,1104,1066,375235
384,56,200000,23,0.05124223602484472,1288,1255,318725
384,64,200000,23,0.051630434782608696,1472,1434,278940
384,72,200000,23,0.06582125603864734,1656,1601,249844
384,80,200000,23,0.04565217391304348,1840,1798,222469
384,88,200000,23,0.055830039525691696,2024,1966,203459
384,96,200000,23,0.06159420289855073,2208,2139,187003
384,104,200000,23,0.054765886287625416,2392,2326,171969
384,112,200000,23,0.05046583850931677,2576,2511,159299
384,120,200000,23,0.0644927536231884,2760,2670,149813
384,128,200000,23,0.06317934782608696,2944,2851,140302
384,136,200000,23,0.054667519181585675,3128,3042,131492
384,144,200000,23,0.05434782608695652,3312,3221,124185
384,152,200000,23,0.05863844393592677,3496,3392,117925
384,160,200000,23,0.058967391304347826,3680,3571,112013
384,168,200000,23,0.060041407867494824,3864,3747,106752
384,176,200000,23,0.05212450592885375,4048,3941,101497
384,184,200000,23,0.057892249527410206,4232,4109,97347
