number_of_tag_barcode,number_of_pcr_index,input_cell_number,sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,8,200000,1,0.0,8,8,50000000
384,16,200000,1,0.0,16,16,25000000
384,24,200000,1,0.0,24,24,16666667
384,32,200000,1,0.0,32,32,12500000
384,40,200000,1,0.0,40,40,10000000
384,48,200000,1,0.0,48,48,8333333
384,56,200000,1,0.0,56,56,7142857
384,64,200000,1,0.0,64,64,6250000
384,72,200000,1,0.0,72,72,5555556
384,80,200000,1,0.0,80,80,5000000
384,88,200000,1,0.0,88,88,4545455
384,96,200000,1,0.0,96,96,4166667
384,104,200000,1,0.0,104,104,3846154
384,112,200000,1,0.0,112,112,3571429
384,120,200000,1,0.0,120,120,3333333
384,128,200000,1,0.0,128,128,3125000
384,136,200000,1,0.0,136,136,2941176
384,144,200000,1,0.0,144,144,2777778
384,152,200000,1,0.0,152,152,2631579
384,160,200000,1,0.0,160,160,2500000
384,168,200000,1,0.0,168,168,2380952
384,176,200000,1,0.0,176,176,2272727
384,184,200000,1,0.0,184,184,2173913
384,192,200000,1,0.0,192,192,2083333
384,200,200000,1,0.0,200,200,2000000
384,208,200000,1,0.0,208,208,1923077
384,216,200000,1,0.0,216,216,1851852
384,224,200000,1,0.0,224,224,1785714
384,232,200000,1,0.0,232,232,1724138
384,240,200000,1,0.0,240,240,1666667
384,248,200000,1,0.0,248,248,1612903
384,256,200000,1,0.0,256,256,1562500
384,264,200000,1,0.0,264,264,1515152
384,272,200000,1,0.0,272,272,1470588
384,280,200000,1,0.0,280,280,1428571
384,288,200000,1,0.0,288,288,1388889
384,296,200000,1,0.0,296,296,1351351
384,304,200000,1,0.0,304,304,1315789
384,312,200000,1,0.0,312,312,1282051
384,320,200000,1,0.0,320,320,1250000
384,328,200000,1,0.0,328,328,1219512
384,336,200000,1,0.0,336,336,1190476
384,344,200000,1,0.0,344,344,1162791
384,352,200000,1,0.0,352,352,1136364
384,360,200000,1,0.0,360,360,1111111
384,368,200000,1,0.0,368,368,1086957
384,376,200000,1,0.0,376,376,1063830
384,8,200000,3,0.0,24,24,16666667
384,16,200000,3,0.0,48,48,8333333
384,24,200000,3,0.0,72,72,5555556
384,32,200000,3,0.020833333333333332,96,95,4210526
384,40,200000,3,0.0,120,120,3333333
384,48,200000,3,0.0,144,144,2777778
384,56,200000,3,0.011904761904761904,168,167,2395210
384,64,200000,3,0.0,192,192,2083333
384,72,200000,3,0.009259259259259259,216,215,1860465
384,80,200000,3,0.008333333333333333,240,239,1673640
384,88,200000,3,0.007575757575757576,264,263,1520913
384,96,200000,3,0.006944444444444444,288,287,1393728
384,104,200000,3,0.00641025641025641,312,311,1286174
384,112,200000,3,0.0,336,336,1190476
384,120,200000,3,0.011111111111111112,360,358,1117318
384,128,200000,3,0.005208333333333333,384,383,1044386
384,136,200000,3,0.0,408,408,980392
384,144,200000,3,0.004629629629629629,432,431,928074
384,152,200000,3,0.013157894736842105,456,453,883002
384,160,200000,3,0.016666666666666666,480,476,840336
384,168,200000,3,0.007936507936507936,504,502,796813
384,176,200000,3,0.003787878787878788,528,527,759013
384,184,200000,3,0.010869565217391304,552,549,728597
384,192,200000,3,0.010416666666666666,576,573,698080
384,200,200000,3,0.01,600,597,670017
384,208,200000,3,0.003205128205128205,624,623,642055
384,216,200000,3,0.018518518518518517,648,642,623053
384,224,200000,3,0.0,672,672,595238
384,232,200000,3,0.0028735632183908046,696,695,575540
384,240,200000,3,0.008333333333333333,720,717,557880
384,248,200000,3,0.0,744,744,537634
